filename,control_ref,standard_id,checklist_item_id,status,confidence,excerpt,inference_source,extracted_at
Records of Processing Activities.docx,A.7.2.8,ISO27701:2019,item:A.7.2.8:proc_add_activity,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,B.8.2.6,ISO27701:2019,item:B.8.2.6:scope_coverage_test,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,B.8.2.6,ISO27701:2019,item:B.8.2.6:scope_own_controller_exclusion,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,B.8.2.6,ISO27701:2019,item:B.8.2.6:scope_customer_engagements,present,medium,This procedure defines how Arion Networks s\.r\.o\.,fingerprint_match,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,B.8.2.6,ISO27701:2019,item:B.8.2.6:proc_subprocessor_update,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.2.8,ISO27701:2019,item:A.7.2.8:proc_add_activity,present,high,"When a new processing activity is planned, the business owner must notify the Data Protection & Risk Manager.",extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,B.8.2.6,ISO27701:2019,item:B.8.2.6:proc_subprocessor_update,present,high,Subprocessors — Any third parties involved,extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.2.1,ISO27701:2019,item:A.7.2.1:rev_coverage_check,present,high,Purpose of Processing — Why the data is being processed,extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.2.2,ISO27701:2019,,present,high,"Legal Basis — Lawful basis (e.g. consent, contract, legal obligation)",extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.2.5,ISO27701:2019,,present,high,High-risk processing activities identified during RoPA review must undergo DPIA per DOC042H before implementation.,extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.5.1,ISO27701:2019,,present,high,"International Transfers — Details of transfers outside the EU/EEA, if applicable",extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.5.2,ISO27701:2019,,present,high,"International Transfers — Details of transfers outside the EU/EEA, if applicable",extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.4.7,ISO27701:2019,,present,high,Retention Period — Timeframe for keeping the data,extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.7.2.6,ISO27701:2019,,present,medium,Subprocessors — Any third parties involved,extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,B.8.5.7,ISO27701:2019,,present,medium,Subprocessors — Any third parties involved,extracted,2026-08-17 19:54:04.596969+00
Records of Processing Activities.docx,A.5.9,ISO27001:2022,item:A.5.9:proc_ownership,present,medium,[Bridge: 27701 B.8.2.6 processor RoPA is the processor-side records-program artefact analogous to 27001 A.5.9 asset register.] maintains its Records of Processing Activities \(RoPA\) in accordance wit,xfw_bridge,2026-08-17 19:54:04.987313+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_up_to_date_check,present,medium,"To ensure all personal data processed by Arion Networks is accurate, up to date, and relevant, in line with:",fingerprint_match,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_correction_link,present,medium,"- Clarify in contracts who is responsible for data accuracy
- Follow client instructions for updates and corrections
- Avoid altering source data unless contractually permitted",fingerprint_match,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_lifecycle_coverage,present,medium,"- Data collected directly from individuals
- Client\-provided data handled under processing contracts
- Training participants and platform account data",fingerprint_match,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_inaccuracy_response,present,medium,"- Data must be:
	- Accurate and complete
	- Kept up to date where necessary
	- Corrected or deleted if inaccurate",fingerprint_match,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_inaccuracy_prevention,present,medium,"- Use structured forms with validation \(e\.g\., date formats, email check\)
- Collect only verifiable data where possible",fingerprint_match,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.4,ISO27701:2019,item:A.7.4.4:rev_date,present,medium,"To ensure all personal data processed by Arion Networks is accurate, up to date, and relevant, in line with:",fingerprint_match,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_inaccuracy_response,present,high,Any identified errors must be: Logged and assessed within 2 business days Corrected within 5 business days,extracted,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.4,ISO27701:2019,item:A.7.4.4:rev_date,present,medium,Collect only verifiable data where possible,extracted,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.3.9,ISO27701:2019,,present,medium,Correction efforts are tracked as part of the DSR Register (DOC041B),extracted,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.4.7,ISO27701:2019,,present,low,Include review cycles in data retention and DPIA evaluations,extracted,2026-08-17 19:54:09.687447+00
Data Quality Accuracy Procedure.docx,A.7.2.6,ISO27701:2019,,present,medium,Clarify in contracts who is responsible for data accuracy,extracted,2026-08-17 19:54:09.687447+00
