filename,control_ref,standard_id,checklist_item_id,status,confidence,excerpt,inference_source,extracted_at
Records of Processing Activities.docx,A.7.2.8,ISO27701:2019,item:A.7.2.8:ropa_pii_categories,present,high,Categories of PII — Types of personal data involved,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,B.8.2.6,ISO27701:2019,item:B.8.2.6:proc_subprocessor_update,present,high,Subprocessors — Any third parties involved,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,Art.30,ISO27701:2019,item:Art.30:categories_ds,present,high,Categories of Data Subjects — Whose data is being processed,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,Art.35,ISO27701:2019,item:Art.35:reg_trigger,present,high,High-risk processing activities identified during RoPA review must undergo DPIA per DOC042H before implementation.,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,Art.24,ISO27701:2019,item:Art.24:role_chosen,present,high,Controller or Processor Role — Whether Arion acts as Controller or Processor,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,Art.32,ISO27701:2019,item:Art.32:reg_activity_id,present,medium,Processing Activity ID — Unique identifier,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,A.7.2.1,ISO27701:2019,item:A.7.2.1:rev_coverage_check,present,high,Purpose of Processing — Why the data is being processed,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,A.7.2.2,ISO27701:2019,,present,high,"Legal Basis — Lawful basis (e.g. consent, contract, legal obligation)",extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,A.7.5.1,ISO27701:2019,,present,high,"International Transfers — Details of transfers outside the EU/EEA, if applicable",extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,A.7.4.7,ISO27701:2019,,present,high,Retention Period — Timeframe for keeping the data,extracted,2026-08-18 14:02:41.865523+00
Records of Processing Activities.docx,A.7.2.5,ISO27701:2019,,present,high,High-risk processing activities identified during RoPA review must undergo DPIA per DOC042H before implementation.,extracted,2026-08-18 14:02:41.865523+00
