ref,title,obligation_snippet
Art.13.1,Information to be provided where personal data are collected from the data subject — paragraph 1,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the followin"
Art.13.1.a,Information to be provided where personal data are collected from the data subject — 1(a),the identity and the contact details of the controller;
Art.13.1.b,Information to be provided where personal data are collected from the data subject — 1(b),"the contact details of the data protection officer, where applicable;"
Art.13.1.c,Information to be provided where personal data are collected from the data subject — 1(c),the purposes of the processing and the legal basis;
Art.13.1.d,Information to be provided where personal data are collected from the data subject — 1(d),"where processing is based on Art.6(1)(f), the legitimate interests pursued;"
Art.13.1.e,Information to be provided where personal data are collected from the data subject — 1(e),the recipients or categories of recipients;
Art.13.1.f,Information to be provided where personal data are collected from the data subject — 1(f),"where applicable, that the controller intends to transfer personal data to a third country."
Art.13.2,Information to be provided where personal data are collected from the data subject — paragraph 2,"In addition to the information in paragraph 1, the controller shall provide the following further information: (a) the period for which personal data will be stored; (b) where processing is based on c"
Art.13.2.a,Information to be provided where personal data are collected from the data subject — 2(a),"In addition to the information in paragraph 1, the controller shall provide the following further information: (a) the period for which personal data will be stored;"
Art.13.2.b,Information to be provided where personal data are collected from the data subject — 2(b),"In addition to the information in paragraph 1, the controller shall provide the following further information: (b) where processing is based on consent, the right to withdraw consent at any time;"
Art.13.2.c,Information to be provided where personal data are collected from the data subject — 2(c),"In addition to the information in paragraph 1, the controller shall provide the following further information: (c) the right to lodge a complaint with a supervisory authority;"
Art.13.2.d,Information to be provided where personal data are collected from the data subject — 2(d),"In addition to the information in paragraph 1, the controller shall provide the following further information: (d) whether the provision of personal data is a statutory or contractual requirement;"
Art.13.2.e,Information to be provided where personal data are collected from the data subject — 2(e),"In addition to the information in paragraph 1, the controller shall provide the following further information: (e) the existence of automated decision-making including profiling."
Art.15.1,Right of access by the data subject — paragraph 1,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to th"
Art.15.1.a,Right of access by the data subject — 1(a),the purposes of the processing;
Art.15.1.b,Right of access by the data subject — 1(b),the categories of personal data concerned;
Art.15.1.c,Right of access by the data subject — 1(c),the recipients or categories of recipient;
Art.15.1.d,Right of access by the data subject — 1(d),the envisaged period for which personal data will be stored;
Art.15.1.e,Right of access by the data subject — 1(e),"the existence of the right to request rectification, erasure or restriction, or to object;"
Art.15.1.f,Right of access by the data subject — 1(f),the right to lodge a complaint with a supervisory authority;
Art.15.1.g,Right of access by the data subject — 1(g),"where data not collected from the data subject, available information as to their source;"
Art.15.1.h,Right of access by the data subject — 1(h),the existence of automated decision-making including profiling.
Art.15.3,Right of access by the data subject — paragraph 3,The controller shall provide a copy of the personal data undergoing processing.
Art.28.1,Processor — paragraph 1,"Where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures"
Art.28.3,Processor — paragraph 3,"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (a) processes the personal data only on documented instructions fr"
Art.28.3.a,Processor — 3(a),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (a) processes the personal data only on documented instructions fr"
Art.28.3.b,Processor — 3(b),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (b) ensures that persons authorised to process the personal data h"
Art.28.3.c,Processor — 3(c),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (c) takes all measures required pursuant to Article 32;"
Art.28.3.f,Processor — 3(f),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (f) assists the controller in ensuring compliance with Articles 32"
