filename,control_ref,standard_id,checklist_item_id,status,confidence,excerpt,inference_source,extracted_at
Data Quality Accuracy Procedure.docx,A.5.31,ISO27001:2022,item:A.5.31:scope_data_categories,present,medium,"To ensure all personal data processed by Arion Networks is accurate, up to date, and relevant, in line with:",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.2.8,ISO27701:2019,item:A.7.2.8:rev_accuracy_sample,present,medium,"- Clarify in contracts who is responsible for data accuracy
- Follow client instructions for updates and corrections
- Avoid altering source data unless contractually permitted",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_correction_link,present,medium,"- Clarify in contracts who is responsible for data accuracy
- Follow client instructions for updates and corrections
- Avoid altering source data unless contractually permitted",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_inaccuracy_prevention,present,medium,"- Use structured forms with validation \(e\.g\., date formats, email check\)
- Collect only verifiable data where possible",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_inaccuracy_response,present,high,"Any identified errors must be: Logged and assessed within 2 business days, Corrected within 5 business days",extracted,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_lifecycle_coverage,present,medium,"- Data collected directly from individuals
- Client\-provided data handled under processing contracts
- Training participants and platform account data",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:proc_up_to_date_check,present,medium,"To ensure all personal data processed by Arion Networks is accurate, up to date, and relevant, in line with:",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:rev_date,present,medium,"To ensure all personal data processed by Arion Networks is accurate, up to date, and relevant, in line with:",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.3,ISO27701:2019,item:A.7.4.3:rev_detection_rate,present,medium,"To ensure all personal data processed by Arion Networks is accurate, up to date, and relevant, in line with:",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,A.7.4.4,ISO27701:2019,item:A.7.4.4:rev_date,present,medium,Collect only verifiable data where possible,extracted,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,Art.15,GDPR:2016/679,item:Art.15:copy,present,medium,"- Data collected directly from individuals
- Client\-provided data handled under processing contracts
- Training participants and platform account data",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,Art.20,GDPR:2016/679,item:Art.20:export_format,present,medium,"- Use structured forms with validation \(e\.g\., date formats, email check\)
- Collect only verifiable data where possible",fingerprint_match,2026-08-17 22:13:51.017861+00
Data Quality Accuracy Procedure.docx,Art.20,GDPR:2016/679,item:Art.20:scope_boundary,present,medium,"- Data collected directly from individuals
- Client\-provided data handled under processing contracts
- Training participants and platform account data",fingerprint_match,2026-08-17 22:13:51.017861+00
