filename,control_ref,standard_id,checklist_item_id,status,confidence,excerpt,inference_source,extracted_at
Data Quality Accuracy Procedure.docx,A.5.31,ISO27001:2022,item:A.5.31:scope_data_categories,present,medium,"To ensure all personal data processed by Arion Networks is accurate, up to date, and relevant, in line with:",fingerprint_match,2026-08-17 19:45:29.738005+00
Data Quality Accuracy Procedure.docx,A.7.2.8,ISO27701:2019,item:A.7.2.8:rev_accuracy_sample,present,medium,"- Clarify in contracts who is responsible for data accuracy
- Follow client instructions for updates and corrections
- Avoid altering source data unless contractually permitted",fingerprint_match,2026-08-17 19:45:29.738005+00
Data Quality Accuracy Procedure.docx,A.5.34,ISO27001:2022,item:A.5.34:owner,present,medium,"[Bridge: 27701 A.7.4.3 accuracy and quality of PII operationalises 27001 A.5.34 data-integrity aspect of privacy protection.] - Clarify in contracts who is responsible for data accuracy
- Follow clien",xfw_bridge,2026-08-17 19:45:30.132691+00
Data Quality Accuracy Procedure.docx,A.5.14,ISO27001:2022,item:A.5.14:authorisation,present,medium,"[Bridge: Information transfer controls must cover secure provision of portable personal data — format, encryption, integrity verification.] - Data collected directly from individuals
- Client\-provide",xfw_bridge,2026-08-17 19:45:30.132691+00
Data Quality Accuracy Procedure.docx,A.8.24,ISO27001:2022,item:A.8.24:algorithms,present,medium,"[Bridge: Cryptography must protect portable personal data in transit — the exported dataset must be encrypted for transmission.] - Data collected directly from individuals
- Client\-provided data hand",xfw_bridge,2026-08-17 19:45:30.132691+00
Data Quality Accuracy Procedure.docx,A.7.3.8,ISO27701:2019,item:A.7.3.8:proc_deleted_notification,present,medium,"[Bridge: 27701 A.7.3.8 structured commonly-used machine-readable format aligns with Art.20 portability.] - Data collected directly from individuals
- Client\-provided data handled under processing con",xfw_bridge,2026-08-17 19:45:30.132691+00
Data Quality Accuracy Procedure.docx,A.5.20,ISO27001:2022,item:A.5.20:acceptable_use,present,medium,"[Bridge: Addressing information security within supplier agreements directly implements Art.28 — processor contracts must contain specific GDPR-mandated clauses (subject matter, duration, nature, purp",xfw_bridge,2026-08-17 19:45:30.132691+00
Data Quality Accuracy Procedure.docx,A.5.22,ISO27001:2022,item:A.5.22:rev_audit,present,medium,"[Bridge: Monitoring, review and change management of supplier services implements the Art.28 requirement to audit processors and ensure ongoing compliance with contractual obligations.] - Use structur",xfw_bridge,2026-08-17 19:45:30.132691+00
Consent Management Procedure.docx,A.5.34,ISO27001:2022,item:A.5.34:pii_inventory,present,medium,"obtains, records, and manages consent for the processing of personal data, including mechanisms for withdrawal, in alignment with:",fingerprint_match,2026-08-17 19:45:34.253351+00
Consent Management Procedure.docx,A.5.34,ISO27001:2022,item:A.5.34:reg_data_subjects,present,medium,"obtains, records, and manages consent for the processing of personal data, including mechanisms for withdrawal, in alignment with:",fingerprint_match,2026-08-17 19:45:34.253351+00
Consent Management Procedure.docx,A.5.34,ISO27001:2022,item:A.5.34:owner,present,medium,"[Bridge: 27701 A.7.2.3 determining when consent is required is a scoping decision that implements 27001 A.5.34 privacy protection.] obtains, records, and manages consent for the processing of personal",xfw_bridge,2026-08-17 19:45:34.660759+00
Consent Management Procedure.docx,A.5.31,ISO27001:2022,item:A.5.31:owner_per_item,present,medium,[Bridge: Legal requirements control is the direct ISO mechanism for identifying and documenting the lawful basis for each processing activity — a mandatory GDPR requirement.] This procedure applies to,xfw_bridge,2026-08-17 19:45:34.660759+00
Data Protection Impact Assessment (DPIA) Procedure.docx,Art.35,GDPR:2016/679,item:Art.35:dpo_advice,present,medium,This procedure defines how Arion Networks conducts Data Protection Impact Assessments \(DPIAs\) to identify and mitigate privacy risks in accordance with:,fingerprint_match,2026-08-17 19:45:36.931779+00
Data Protection Impact Assessment (DPIA) Procedure.docx,Art.35,GDPR:2016/679,item:Art.35:review_trigger,present,medium,This procedure defines how Arion Networks conducts Data Protection Impact Assessments \(DPIAs\) to identify and mitigate privacy risks in accordance with:,fingerprint_match,2026-08-17 19:45:36.931779+00
Data Protection Impact Assessment (DPIA) Procedure.docx,Art.35,GDPR:2016/679,item:Art.35:trigger_criteria,present,medium,This procedure defines how Arion Networks conducts Data Protection Impact Assessments \(DPIAs\) to identify and mitigate privacy risks in accordance with:,fingerprint_match,2026-08-17 19:45:36.931779+00
