filename,control_ref,standard_id,checklist_item_id,status,confidence,excerpt,inference_source,extracted_at
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:pii_inventory,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27701:2019,item:A.5.34:reg_data_subjects,present,high,Categories of Data Subjects	Whose data is being processed,extracted,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:reg_owner_per_activity,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:applicable_laws,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:data_subject_rights,present,medium,"It ensures that all personal data processing is documented, reviewed, and auditable\.",fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:security_controls_ref,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:scope_controller_role,present,medium,in the role of either PII Controller or Processor\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:scope_data_subjects,present,medium,"It ensures that all personal data processing is documented, reviewed, and auditable\.",fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.5.34,ISO27001:2022,item:A.5.34:scope_privacy_laws,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.7.2.1,ISO27701:2019,item:A.7.2.1:proc_change_control,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.7.2.1,ISO27701:2019,item:A.7.2.1:proc_downstream_notice,present,medium,"Lawful basis \(e\.g\. consent, contract, legal obligation\)",fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.7.2.1,ISO27701:2019,item:A.7.2.1:reg_categories,present,medium,"This procedure applies to all business units, systems, processes, and services that involve the collection, use, storage, or transmission of personally identifiable information \(PII\) by Arion Networ",fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.7.2.8,ISO27701:2019,item:A.7.2.8:scope_covered_activities,present,medium,maintains its Records of Processing Activities \(RoPA\) in accordance with GDPR Article 30 and ISO/IEC 27701:2019 \(Controls A\.8\.2\.1 and A\.8\.2\.2\)\.,fingerprint_match,2026-08-19 14:55:16.531341+00
Records of Processing Activities.docx,A.7.2.8,ISO27701:2019,item:A.7.2.8:ropa_pii_categories,present,medium,"This procedure applies to all business units, systems, processes, and services that involve the collection, use, storage, or transmission of personally identifiable information \(PII\) by Arion Networ",fingerprint_match,2026-08-19 14:55:16.531341+00
