ref,title,obligation_snippet
Art.12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subj
Art.12.3,"Transparent information, communication and modalities for the exercise of the rights of the data subject — paragraph 3",The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request.
Art.14,Information to be provided where personal data have not been obtained from the data subject,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with: (a) the identity and contact details of the controller; (b) the contact details of"
Art.14.3,Information to be provided where personal data have not been obtained from the data subject — paragraph 3,"The controller shall provide the information referred to in paragraphs 1 and 2 within a reasonable period, but at the latest within one month of obtaining the personal data."
Art.16,Right to rectification,The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the pro
Art.16.1,Right to rectification — paragraph 1,The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the pro
Art.17,Right to erasure ('right to be forgotten'),The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase persona
Art.17.1,Right to erasure ('right to be forgotten') — paragraph 1,The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase persona
Art.17.1.a,Right to erasure ('right to be forgotten') — 1(a),the personal data are no longer necessary;
Art.17.1.b,Right to erasure ('right to be forgotten') — 1(b),the data subject withdraws consent and there is no other legal ground for the processing;
Art.17.1.c,Right to erasure ('right to be forgotten') — 1(c),the data subject objects pursuant to Art.21(1) and there are no overriding legitimate grounds;
Art.17.1.d,Right to erasure ('right to be forgotten') — 1(d),the personal data have been unlawfully processed;
Art.17.1.e,Right to erasure ('right to be forgotten') — 1(e),the personal data have to be erased for compliance with a legal obligation.
Art.18,Right to restriction of processing,The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies: (a) the accuracy of the personal data is contested; (b) the processing
Art.18.1,Right to restriction of processing — paragraph 1,The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies: (a) the accuracy of the personal data is contested; (b) the processing
Art.18.1.a,Right to restriction of processing — 1(a),The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies: (a) the accuracy of the personal data is contested;
Art.18.1.b,Right to restriction of processing — 1(b),The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies: (b) the processing is unlawful and the data subject opposes the erasur
Art.18.1.c,Right to restriction of processing — 1(c),The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies: (c) the controller no longer needs the personal data but they are requ
Art.18.1.d,Right to restriction of processing — 1(d),The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies: (d) the data subject has objected to processing pursuant to Art.21(1) 
Art.19,Notification obligation regarding rectification or erasure of personal data or restriction of processing,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to"
Art.19.1,Notification obligation regarding rectification or erasure of personal data or restriction of processing — paragraph 1,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to"
